lineage,time_bin,pi,n_samples
AY.103,2021-08-30/2021-09-05,0.0003771077541179,39
AY.103,2021-09-06/2021-09-12,0.0004214926965152,56
AY.103,2021-09-13/2021-09-19,0.0004009597361434,45
AY.103,2021-09-20/2021-09-26,0.0004170750383504,40
AY.103,2021-09-27/2021-10-03,0.0004520739506717,50
AY.103,2021-10-04/2021-10-10,0.0004596485902709,40
AY.103,2021-10-11/2021-10-17,0.0004513310987577,40
AY.103,2021-10-18/2021-10-24,0.0004920773078902,44
AY.103,2021-10-25/2021-10-31,0.0005204106651728,52
AY.103,2021-11-01/2021-11-07,0.0005204624277879,61
AY.103,2021-11-08/2021-11-14,0.0005451913568156,50
AY.103,2021-11-15/2021-11-21,0.0005883820270575,49
AY.103,2021-11-22/2021-11-28,0.0005697499930626,48
AY.103,2021-11-29/2021-12-05,0.0005977330468325,60
AY.103,2021-12-06/2021-12-12,0.0006130659905451,29
AY.103,2021-12-13/2021-12-19,0.0006119922156909,32
AY.103,2021-12-20/2021-12-26,0.0006877629826635,17
AY.103,2021-12-27/2022-01-02,0.000690110144011,12
AY.107,2021-07-05/2021-07-11,0.0001373886678036,16
AY.107,2021-07-12/2021-07-18,0.0001572851119719,14
AY.107,2021-07-19/2021-07-25,0.0001515482069272,28
AY.107,2021-07-26/2021-08-01,0.0001284835680275,42
AY.107,2021-08-02/2021-08-08,0.0002253498432811,33
AY.107,2021-08-09/2021-08-15,0.0002628498812828,25
AY.107,2021-08-16/2021-08-22,0.0002051195478571,34
AY.107,2021-08-23/2021-08-29,0.000271088158591,36
AY.107,2021-08-30/2021-09-05,0.0003087872641289,43
AY.107,2021-09-06/2021-09-12,0.0003017448725237,40
AY.107,2021-09-13/2021-09-19,0.0002390120529496,32
AY.107,2021-09-20/2021-09-26,0.0002817526391811,43
AY.107,2021-09-27/2021-10-03,0.0002929981882317,48
AY.107,2021-10-04/2021-10-10,0.0002911096045564,45
AY.107,2021-10-11/2021-10-17,0.0003101083748021,41
AY.107,2021-10-18/2021-10-24,0.0003346620926007,47
AY.107,2021-10-25/2021-10-31,0.0003763840595033,57
AY.107,2021-11-01/2021-11-07,0.0003666911984939,53
AY.107,2021-11-08/2021-11-14,0.0003997551552255,54
AY.107,2021-11-15/2021-11-21,0.000391907561872,29
AY.107,2021-11-22/2021-11-28,0.0003757442530405,43
AY.107,2021-11-29/2021-12-05,0.0004353022764147,48
AY.107,2021-12-06/2021-12-12,0.000467689065393,50
AY.107,2021-12-13/2021-12-19,0.0003857590721784,45
AY.107,2021-12-20/2021-12-26,0.0004535299054243,15
AY.110,2021-06-28/2021-07-04,0.0001032226420983,25
AY.110,2021-07-05/2021-07-11,0.0001230203885455,37
AY.110,2021-07-12/2021-07-18,0.0001503550229939,70
AY.110,2021-07-19/2021-07-25,0.0002119918375812,100
AY.110,2021-07-26/2021-08-01,0.0002308101027661,124
AY.110,2021-08-02/2021-08-08,0.0002552225866927,127
AY.110,2021-08-09/2021-08-15,0.0002743715485194,84
AY.110,2021-08-16/2021-08-22,0.0003022093909823,57
AY.110,2021-08-23/2021-08-29,0.000314218587813,51
AY.110,2021-08-30/2021-09-05,0.0003444470454469,41
AY.110,2021-09-06/2021-09-12,0.0003748016021032,65
AY.110,2021-09-13/2021-09-19,0.0003760449384634,40
AY.110,2021-09-20/2021-09-26,0.0004123180100506,33
AY.110,2021-09-27/2021-10-03,0.0004504683721106,23
AY.110,2021-10-04/2021-10-10,0.000425919263494,14
AY.110,2021-10-11/2021-10-17,0.0005059933436193,18
AY.110,2021-10-25/2021-10-31,0.0003926982959187,21
AY.111,2021-05-24/2021-05-30,0.0001352521300352,10
AY.111,2021-05-31/2021-06-06,0.0001167410992512,11
AY.111,2021-07-12/2021-07-18,0.0002042969236896,11
AY.111,2021-07-19/2021-07-25,0.0001897201824024,18
AY.111,2021-07-26/2021-08-01,0.0001775722007981,19
AY.111,2021-08-02/2021-08-08,0.0001248481200325,16
AY.111,2021-08-16/2021-08-22,0.0001760594549828,17
AY.111,2021-08-23/2021-08-29,0.0002535181212905,15
AY.111,2021-08-30/2021-09-05,0.00032679262188,27
AY.111,2021-09-06/2021-09-12,0.000303804169637,28
AY.111,2021-09-13/2021-09-19,0.0003569984508351,22
AY.111,2021-09-20/2021-09-26,0.0003743163501381,33
AY.111,2021-09-27/2021-10-03,0.0003650441733577,37
AY.111,2021-10-04/2021-10-10,0.0003934497440243,44
AY.111,2021-10-11/2021-10-17,0.0003567632907376,41
AY.111,2021-10-18/2021-10-24,0.0003483193375795,54
AY.111,2021-10-25/2021-10-31,0.0003596751908383,60
AY.111,2021-11-01/2021-11-07,0.0003996528666732,62
AY.111,2021-11-08/2021-11-14,0.0003890708612818,76
AY.111,2021-11-15/2021-11-21,0.0003353394588654,68
AY.111,2021-11-22/2021-11-28,0.0003210694233734,72
AY.111,2021-11-29/2021-12-05,0.0003569272771577,92
AY.111,2021-12-06/2021-12-12,0.0003517546239012,55
AY.111,2021-12-13/2021-12-19,0.0004221984416279,32
AY.111,2021-12-20/2021-12-26,0.0004524730973582,12
AY.112,2021-08-02/2021-08-08,0.0004140839695407,17
AY.112,2021-08-09/2021-08-15,0.0003385527890434,62
AY.112,2021-08-16/2021-08-22,0.0003553797144945,82
AY.112,2021-08-23/2021-08-29,0.0003328238782875,75
AY.112,2021-08-30/2021-09-05,0.0004725505082319,54
AY.112,2021-09-06/2021-09-12,0.0004813340913397,25
AY.112,2021-09-13/2021-09-19,0.0004999498378089,16
AY.112,2021-09-20/2021-09-26,0.0004974417282546,16
AY.112,2021-10-04/2021-10-10,0.00063842788653,11
AY.112,2021-10-11/2021-10-17,0.0005942290328472,14
AY.112,2021-10-18/2021-10-24,0.0005138123940642,29
AY.112,2021-10-25/2021-10-31,0.0006084659727516,35
AY.112,2021-11-01/2021-11-07,0.0006260856462716,30
AY.112,2021-11-08/2021-11-14,0.0007032399928852,24
AY.112,2021-11-15/2021-11-21,0.0007093904700466,31
AY.112,2021-11-22/2021-11-28,0.0007219169387372,38
AY.112,2021-11-29/2021-12-05,0.0006690148284881,47
AY.112,2021-12-06/2021-12-12,0.0008263132026043,35
AY.112,2021-12-13/2021-12-19,0.0007650132253014,15
AY.112,2021-12-20/2021-12-26,0.000690110144011,11
AY.113,2021-07-19/2021-07-25,0.0001234929758725,18
AY.113,2021-07-26/2021-08-01,0.0001712608140056,22
AY.113,2021-08-02/2021-08-08,0.0001903072033749,35
AY.113,2021-08-09/2021-08-15,0.0002696465607704,23
AY.113,2021-08-16/2021-08-22,0.0002856682844422,32
AY.113,2021-08-23/2021-08-29,0.0002893090234915,46
AY.113,2021-08-30/2021-09-05,0.0002885668460173,43
AY.113,2021-09-06/2021-09-12,0.0003447561681931,35
AY.113,2021-09-13/2021-09-19,0.0003380907961747,48
AY.113,2021-09-20/2021-09-26,0.0003338837903931,36
AY.113,2021-09-27/2021-10-03,0.0003469320089181,43
AY.113,2021-10-04/2021-10-10,0.0003536377598225,49
AY.113,2021-10-11/2021-10-17,0.0003524865077217,45
AY.113,2021-10-18/2021-10-24,0.0003925852758461,53
AY.113,2021-10-25/2021-10-31,0.0003930300021501,59
AY.113,2021-11-01/2021-11-07,0.0003955139330534,46
AY.113,2021-11-08/2021-11-14,0.0003778069416316,41
AY.113,2021-11-15/2021-11-21,0.0004260290948265,60
AY.113,2021-11-22/2021-11-28,0.0004864617819839,51
AY.113,2021-11-29/2021-12-05,0.0004577876152106,57
AY.113,2021-12-06/2021-12-12,0.0004997775342014,53
AY.113,2021-12-13/2021-12-19,0.0004553634800203,39
AY.113,2021-12-20/2021-12-26,0.0004774056806663,30
AY.113,2021-12-27/2022-01-02,0.000489461379673,11
AY.114,2021-07-05/2021-07-11,0.0001709230214731,18
AY.114,2021-07-12/2021-07-18,0.0001971844269692,44
AY.114,2021-07-19/2021-07-25,0.0002181523660721,54
AY.114,2021-07-26/2021-08-01,0.0002126708518471,74
AY.114,2021-08-02/2021-08-08,0.0002542890954124,69
AY.114,2021-08-09/2021-08-15,0.000258431222702,61
AY.114,2021-08-16/2021-08-22,0.0002791933233694,66
AY.114,2021-08-23/2021-08-29,0.0002845786742989,41
AY.114,2021-08-30/2021-09-05,0.0002874890634621,54
AY.114,2021-09-06/2021-09-12,0.0003194310956073,56
AY.114,2021-09-13/2021-09-19,0.0003161595039647,51
AY.114,2021-09-20/2021-09-26,0.0003378347566221,33
AY.114,2021-09-27/2021-10-03,0.0003667413525956,40
AY.114,2021-10-04/2021-10-10,0.0003444601597452,51
AY.114,2021-10-11/2021-10-17,0.0003272369278553,41
AY.114,2021-10-18/2021-10-24,0.0003901503751017,33
AY.114,2021-10-25/2021-10-31,0.0004314008043714,34
AY.114,2021-11-01/2021-11-07,0.0004672249798156,36
AY.114,2021-11-08/2021-11-14,0.0003996012226973,24
AY.114,2021-11-15/2021-11-21,0.0004360718012394,24
AY.114,2021-11-22/2021-11-28,0.0005333484248643,13
AY.114,2021-11-29/2021-12-05,0.0004457099033911,23
AY.114,2021-12-06/2021-12-12,0.000428859172129,14
AY.116.1,2021-07-05/2021-07-11,8.272902898860161e-05,26
AY.116.1,2021-07-12/2021-07-18,8.545276787101826e-05,51
AY.116.1,2021-07-19/2021-07-25,0.000127963784075,70
AY.116.1,2021-07-26/2021-08-01,0.0001518711670659,76
AY.116.1,2021-08-02/2021-08-08,0.0001931421780825,119
AY.116.1,2021-08-09/2021-08-15,0.0002294770882358,67
AY.116.1,2021-08-16/2021-08-22,0.0002502163348549,38
AY.116.1,2021-08-23/2021-08-29,0.0003029527678606,44
AY.116.1,2021-08-30/2021-09-05,0.0002916254286249,54
AY.116.1,2021-09-06/2021-09-12,0.0003174795085305,40
AY.116.1,2021-09-13/2021-09-19,0.0003054661318762,49
AY.116.1,2021-09-20/2021-09-26,0.0003766880434773,40
AY.116.1,2021-09-27/2021-10-03,0.0003715116122426,39
AY.116.1,2021-10-04/2021-10-10,0.0003449809847357,35
AY.116.1,2021-10-11/2021-10-17,0.0004241976593885,24
AY.116.1,2021-10-18/2021-10-24,0.0004108522317397,28
AY.116.1,2021-10-25/2021-10-31,0.0004725021158154,26
AY.116.1,2021-11-01/2021-11-07,0.000409681712561,27
AY.116.1,2021-11-08/2021-11-14,0.000401297528676,27
AY.116.1,2021-11-15/2021-11-21,0.0004356944597054,21
AY.116.1,2021-11-22/2021-11-28,0.0005180147837484,18
AY.116.1,2021-11-29/2021-12-05,0.0004689042912632,22
AY.116.1,2021-12-06/2021-12-12,0.0004170489413354,24
AY.116.1,2021-12-13/2021-12-19,0.0003712859613605,13
AY.117,2021-07-05/2021-07-11,0.0001378082172651,14
AY.117,2021-07-12/2021-07-18,0.0002110527743407,10
AY.117,2021-07-19/2021-07-25,0.0002260720970514,19
AY.117,2021-07-26/2021-08-01,0.0002459995771703,27
AY.117,2021-08-02/2021-08-08,0.0002122805767634,23
AY.117,2021-08-09/2021-08-15,0.000291832480576,25
AY.117,2021-08-16/2021-08-22,0.0003216717925593,32
AY.117,2021-08-23/2021-08-29,0.0003575663877305,26
AY.117,2021-08-30/2021-09-05,0.0003188085922259,21
AY.117,2021-09-06/2021-09-12,0.0003170828202772,43
AY.117,2021-09-13/2021-09-19,0.0003622281148069,41
AY.117,2021-09-20/2021-09-26,0.0003560695771709,47
AY.117,2021-09-27/2021-10-03,0.0003991768506789,41
AY.117,2021-10-04/2021-10-10,0.0003689869386055,46
AY.117,2021-10-11/2021-10-17,0.0003798066199831,37
AY.117,2021-10-18/2021-10-24,0.0004231305742975,30
AY.117,2021-10-25/2021-10-31,0.0004241411158559,46
AY.117,2021-11-01/2021-11-07,0.0004487659591362,53
AY.117,2021-11-08/2021-11-14,0.0004731932073815,70
AY.117,2021-11-15/2021-11-21,0.000490527214464,51
AY.117,2021-11-22/2021-11-28,0.0004944744004136,43
AY.117,2021-11-29/2021-12-05,0.0004937719679595,76
AY.117,2021-12-06/2021-12-12,0.0005383886241597,60
AY.117,2021-12-13/2021-12-19,0.0005140804942516,34
AY.117,2021-12-20/2021-12-26,0.0005289031024875,20
AY.117,2021-12-27/2022-01-02,0.000723551604734,11
AY.118,2021-07-05/2021-07-11,0.0001420465855472,15
AY.118,2021-07-12/2021-07-18,0.000169267103732,24
AY.118,2021-07-19/2021-07-25,0.0002160832846717,39
AY.118,2021-07-26/2021-08-01,0.0002131893121091,65
AY.118,2021-08-02/2021-08-08,0.0002675088276427,77
AY.118,2021-08-09/2021-08-15,0.0002970417120824,53
AY.118,2021-08-16/2021-08-22,0.0002969196361163,45
AY.118,2021-08-23/2021-08-29,0.0003540598261175,51
AY.118,2021-08-30/2021-09-05,0.0003791200680009,54
AY.118,2021-09-06/2021-09-12,0.0004186991937581,52
AY.118,2021-09-13/2021-09-19,0.0003531958720401,55
AY.118,2021-09-20/2021-09-26,0.0003800648552011,36
AY.118,2021-09-27/2021-10-03,0.0004314249707688,37
AY.118,2021-10-04/2021-10-10,0.0004454984158925,46
AY.118,2021-10-11/2021-10-17,0.0004521494796189,38
AY.118,2021-10-18/2021-10-24,0.0004607233887654,30
AY.118,2021-10-25/2021-10-31,0.0005076347843248,29
AY.118,2021-11-01/2021-11-07,0.0005315270331927,30
