lineage,time_bin,pi_valid_sites,pi_total_length,n_samples
AY.107,2022-01-03/2022-01-09,0.00043473898939905693,0.00043473898939905693,2
AY.110,2021-05-31/2021-06-06,0.0,0.0,3
AY.110,2021-06-07/2021-06-13,3.344146072300438e-05,3.344146072300438e-05,2
AY.110,2021-06-14/2021-06-20,4.458861429733917e-05,4.458861429733917e-05,3
AY.110,2021-06-21/2021-06-27,0.00018392803397652415,0.00018392803397652415,9
AY.110,2021-06-28/2021-07-04,0.00010322264209834023,0.00010322264209834023,25
AY.110,2021-07-05/2021-07-11,0.00012302038854558654,0.00012302038854558654,37
AY.110,2021-07-12/2021-07-18,0.00015035502299394656,0.00015035502299394656,70
AY.110,2021-07-19/2021-07-25,0.00021199183758124386,0.00021199183758124386,100
AY.110,2021-07-26/2021-08-01,0.0002308101027661432,0.0002308101027661432,124
AY.110,2021-08-02/2021-08-08,0.00025522258669276527,0.00025522258669276527,127
AY.110,2021-08-09/2021-08-15,0.0002743715485194054,0.0002743715485194054,84
AY.110,2021-08-16/2021-08-22,0.00030220939098238927,0.00030220939098238927,57
AY.110,2021-08-23/2021-08-29,0.00031421858781301344,0.00031421858781301344,51
AY.110,2021-08-30/2021-09-05,0.00034444704544694526,0.00034444704544694526,41
AY.110,2021-09-06/2021-09-12,0.00037480160210321003,0.00037480160210321003,65
AY.110,2021-09-13/2021-09-19,0.0003760449384634254,0.0003760449384634254,40
AY.110,2021-09-20/2021-09-26,0.00041231801005067866,0.00041231801005067866,33
AY.110,2021-09-27/2021-10-03,0.00045046837211066773,0.00045046837211066773,23
AY.110,2021-10-04/2021-10-10,0.0004259192634940887,0.0004259192634940887,14
AY.110,2021-10-11/2021-10-17,0.000505993343619314,0.000505993343619314,18
AY.110,2021-10-18/2021-10-24,0.0004765408153028125,0.0004765408153028125,8
AY.110,2021-10-25/2021-10-31,0.00039269829591870846,0.00039269829591870846,21
AY.110,2021-11-01/2021-11-07,0.0004108522317397683,0.0004108522317397683,7
AY.110,2021-11-08/2021-11-14,0.00039200823403077344,0.00039200823403077344,9
AY.110,2021-11-15/2021-11-21,0.0007000412444682251,0.0007000412444682251,6
AY.110,2021-12-13/2021-12-19,0.000646534907311418,0.000646534907311418,3
AY.111,2021-04-19/2021-04-25,0.0,0.0,4
AY.111,2021-04-26/2021-05-02,0.0001337658428920175,0.0001337658428920175,4
AY.111,2021-05-10/2021-05-16,0.00010589795895618053,0.00010589795895618053,4
AY.111,2021-05-17/2021-05-23,0.00017278088040218928,0.00017278088040218928,4
AY.111,2021-05-24/2021-05-30,0.0001352521300352621,0.0001352521300352621,10
AY.111,2021-05-31/2021-06-06,0.00011674109925121533,0.00011674109925121533,11
AY.111,2021-06-07/2021-06-13,0.00011370096645821487,0.00011370096645821487,5
AY.111,2021-06-14/2021-06-20,0.00010390739581790647,0.00010390739581790647,8
AY.111,2021-06-21/2021-06-27,0.0002113978052847063,0.0002113978052847063,8
AY.111,2021-06-28/2021-07-04,0.0003065467232942068,0.0003065467232942068,4
AY.111,2021-07-05/2021-07-11,0.00013734885654091084,0.00013734885654091084,8
AY.111,2021-07-12/2021-07-18,0.00020429692368962682,0.00020429692368962682,11
AY.111,2021-07-19/2021-07-25,0.00018972018240240388,0.00018972018240240388,18
AY.111,2021-07-26/2021-08-01,0.00017757220079817548,0.00017757220079817548,19
AY.111,2021-08-02/2021-08-08,0.0001248481200325497,0.0001248481200325497,16
AY.111,2021-08-09/2021-08-15,0.00015924505106192563,0.00015924505106192563,7
AY.111,2021-08-16/2021-08-22,0.00017605945498287595,0.00017605945498287595,17
AY.111,2021-08-23/2021-08-29,0.0002535181212905854,0.0002535181212905854,15
AY.111,2021-08-30/2021-09-05,0.0003267926218800719,0.0003267926218800719,27
AY.111,2021-09-06/2021-09-12,0.00030380416963702895,0.00030380416963702895,28
AY.111,2021-09-13/2021-09-19,0.00035699845083518947,0.00035699845083518947,22
AY.111,2021-09-20/2021-09-26,0.0003743163501381738,0.0003743163501381738,33
AY.111,2021-09-27/2021-10-03,0.0003650441733577207,0.0003650441733577207,37
AY.111,2021-10-04/2021-10-10,0.00039344974402435377,0.00039344974402435377,44
AY.111,2021-10-11/2021-10-17,0.0003567632907376127,0.0003567632907376127,41
AY.111,2021-10-18/2021-10-24,0.00034831933757958075,0.00034831933757958075,54
AY.111,2021-10-25/2021-10-31,0.0003596751908383241,0.0003596751908383241,60
